ResourceID,Full Address,Address Type,Building Name,Building Number (Sub-Street),Sub-Street,Building Number (Street),Street,Locality,Town,County,Country,Postcode
434bb11a-ca09-4878-a24f-04474953aa70,"Woodhall, Woodhall Lane, Calverley, Pudsey, West Yorkshire, LS28 5NY",Primary,Woodhall,,,,Woodhall Lane,Calverley,Pudsey,West Yorkshire,,LS28 5NY
43698e4e-58af-44b4-ac50-5eea743b12f4,"The Worshipful Company of Masons, 22  Cannon Hill, Southgate, London, N14 6LG",Primary,The Worshipful Company of Masons,,,22 ,Cannon Hill,Southgate,London,,,N14 6LG
43c588b4-5ab0-4458-b220-1475d44a7f0a,"Chiltern House, Earl Howe Road, Holmer Green, High Wycombe, Buckinghamshire, HP15 6QT",Primary,Chiltern House,,,,Earl Howe Road,Holmer Green,High Wycombe,Buckinghamshire,,HP15 6QT
43c9175e-176e-48e1-b691-fb92860723e2,"43  Frith Street, London, W1D 4SA",Primary,,,,43 ,Frith Street,,London,,,W1D 4SA
43e58b54-e596-4ab8-8272-9cfe84ec2fae,"25  Church Street, Warmington, Peterborough, PE8 6TE",Primary,,,,25 ,Church Street,Warmington,Peterborough,,,PE8 6TE
441577d3-c23f-4283-a560-b085b76051f4,"16-25 Bastwick Street, London, EC1V 3PS",Primary,,,,16-25,Bastwick Street,,London,,,EC1V 3PS
4433f8a3-d085-4798-96af-6679730e79f3,"141  Harley Street, London, W1G 6BQ",Primary,,,,141 ,Harley Street,,London,,,W1G 6BQ
443667a0-b528-40db-a7fd-72b84f13865f,"137-145 Church Road, Harold Wood, Romford, RM3 0SH",Primary,,,,137-145,Church Road,Harold Wood,Romford,,,RM3 0SH
44561843-f9ec-4324-baa7-4230e6315c03,"250  Harrow Road, Wembley, HA9 6QL",Primary,,,,250 ,Harrow Road,,Wembley,,,HA9 6QL
446f1e0c-65d2-4f32-ae2f-afe802fb9183,"The Hive, Sawmill Walk, The Butts, Worcester, Worcestershire, WR1 3PD",Primary,The Hive,,Sawmill Walk,,The Butts,,Worcester,Worcestershire,,WR1 3PD
44787837-32df-477f-bc48-979e45df020e,"31  Hill Street, London, W1J 5LS",Primary,,,,31 ,Hill Street,,London,,,W1J 5LS
447e4f37-9dfd-4581-9566-b2d0f5634029,"Prospect House, Garden Lane, Sherburn in Elmet, North Yorkshire, LS25 6AT",Primary,Prospect House,,,,Garden Lane,,Sherburn in Elmet,North Yorkshire,,LS25 6AT
448cb393-8e20-44d6-a5db-123ca97f56bc,"The Coach House, 6  Swakeleys Road, Ickenham, Uxbridge, UB10 8BG",Primary,The Coach House,,,6 ,Swakeleys Road,Ickenham,Uxbridge,,,UB10 8BG
44a96833-3898-4e61-b1d3-ceb1214b2a11,"The Old School House, 178  Ebury Street, London, SW1W 8UP",Primary,The Old School House,,,178 ,Ebury Street,,London,,,SW1W 8UP
44b4313a-44b8-4e2b-8eaf-bf60c24e4ef4,"2  Turnberry Quay, London, E14 9RD",Primary,,,,2 ,Turnberry Quay,,London,,,E14 9RD
4508bd14-13da-415d-8f99-2d33fd79c191,"Maritime House, Old Town, London, SW4 0JW",Primary,Maritime House,,,,Old Town,,London,,,SW4 0JW
452337ae-4b89-4a80-bf12-975c7052e14a,"Purelake House, 7  Plaistow Lane, Bromley, BR1 4DS",Primary,Purelake House,,,7 ,Plaistow Lane,,Bromley,,,BR1 4DS
4571d08d-4163-434a-8d05-b1cd7e0579fb,"Sandgate Hall, Albion Road, North Shields, Tyne and Wear, NE30 2RQ",Primary,Sandgate Hall,,,,Albion Road,,North Shields,Tyne and Wear,,NE30 2RQ
457e6566-1107-4483-9a55-93f2ccc9b129,"Isle House, Brussels Green, Darsham, Saxmundham, Suffolk, IP17 3RN",Primary,Isle House,,,,Brussels Green,Darsham,Saxmundham,Suffolk,,IP17 3RN
459c1774-afa3-4e43-8540-80f47fe0f9c4,"1  Athenaeum Road, Whetstone, London,  N20 9AA",Primary,,,,1 ,Athenaeum Road,Whetstone,London,,, N20 9AA
463901cc-a917-46a4-ad7d-8ab75c4a296f,"5th Floor, 89 New Bond Street, London, W1S 1DA",Primary,5th Floor,,,89,New Bond Street,,London,,,W1S 1DA
46480542-0ef2-4d6e-809c-d50e7daca010,"Department of Archaeology, South Road, Durham, DH1 3LE",Primary,Department of Archaeology,,,,South Road,,Durham,,,DH1 3LE
46c2f077-391a-4ce9-9328-da48665c42f2,"Phoneix Yard, 64  Kings Cross Road, London, WC1X 9LW",Primary,Phoneix Yard,,,64 ,Kings Cross Road,,London,,,WC1X 9LW
46f3271c-5075-4a26-85b6-715a8c45bab4,"Pickford's Wharf, Clink Street, London, SE1 9DG",Primary,Pickford's Wharf,,,,Clink Street,,London,,,SE1 9DG
46f3271c-5075-4a26-85b6-715a8c45bab4,"Merchant's House, Wapping Road, Bristol, BS1 4RW",Alternative,Merchant's House,,,,Wapping Road,,Bristol,,,BS1 4RW
