ResourceID,Location Description,Location Description Type
0319b27b-b8bd-459c-99a1-42fc8f7cae7d,"Ewer Street, The Borough, Southwark, SE1 0NX",Primary
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Plough Way,Primary
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Grove Street,Primary
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Capstan Way,Primary
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Enterprize Way,Primary
0325b888-3100-4714-b894-554b94902252,"Croydon Road, Wallington, SM6 7PH",Primary
033ea2c4-3240-4ddc-ac53-9d64b3f63d00,"River Thames Foreshore, Hammersmith Embankment, Winslow Road, SW10",Primary
034bb122-6c19-44de-a11d-182aab46a0c7,Selhurst,Primary
03529d03-c8d1-4dd5-be05-056196e0a0e0,"Gypsy Corner, Acton",Primary
03529d03-c8d1-4dd5-be05-056196e0a0e0,"Western Avenue (A40), Acton",Primary
03529d03-c8d1-4dd5-be05-056196e0a0e0,"Horn Lane, Acton",Primary
0369295f-8d46-4261-a799-b66e63946ae9,"Black Prince Road, Lambeth, SE1 7HB",Primary
0373d66e-4888-4ff1-957f-a98c2fdd6f3d,"Giffin Street, Lewisham",Primary
037597e0-ecc0-4a57-8e2e-f1f00ed7a0b2,"Iron Mill Lane, Crayford, DA1",Primary
0377357a-1725-4940-90cb-0be30f27f004,"One Blackfriars Road, Southwark, SE1",Primary
03872ecd-295d-490d-bfb8-487a4e84bfbc,South Lambeth Road,Primary
03a423ec-436c-4f16-a735-ddbf078d5037,Mount Culver Estate,Primary
03c28ab6-a5d8-4751-9076-bce549a1e49b,"Marble Hill Park, Richmond Road, Twickenham, Richmond Upon Thames",Primary
03c5ecb8-1433-4e13-9b5d-f0485e22a282,"Highbridge Road, [J.A.Symes Factory Site], Town Quay, Barking",Primary
03cba7bf-3763-4347-841e-34523d4b67e1,"Maybury Street, Blackshaw Road (corner of), Tootin",Primary
03ccf27d-66fd-460b-b008-1cbc1b08cb3d,"Victoria Dock Road, Newham, E16",Primary
03cd9d90-83f7-4f9e-b690-baa530275f26,Wickham Court Farm,Primary
03d0e7e1-33b4-4d81-af48-9a94914cfcda,"Old Keeper's Cottage or Lodge Site, Greenwich Park, Greenwich",Primary
03d59d33-5f66-445a-a8ad-88970bdb3c3a,"Vaizey's Wharf, Anchor and Hope Lane, Charlton, Greenwich, SE7",Primary
03d921ce-64e9-4434-ab76-fa2498a65dd5,"Victors Way, Hadley, Barnet",Primary
03e370fb-e1bb-4ee3-95be-d2567264c570,"Lewisham Gateway, Lewisham",Primary
03ede02f-795e-4e29-9e41-d65bbd12d788,"West Smithfield, City of London, EC1",Primary
03f67f5c-059e-47d6-b5ab-7530eaaf354d,"Site of former St Stephen's House, Canon Row, Bridge Street, SW1",Primary
03f7318f-4b6d-44b5-aa9d-3b36f406c4a7,"Canons Park, Dalkeith Grove, Harrow",Primary
03fec946-d646-4f0f-b924-b6d0e5fd6c46,"Field 413, Brockley Hill, Stanmore",Primary
040ff1af-7bfa-44f3-b371-ad64e914d6c3,"Packington Street, Islington",Primary
040ff1af-7bfa-44f3-b371-ad64e914d6c3,"Queens Head Street, Islington",Primary
0415e961-97e5-49fd-87f1-fe0c5c3a234d,"Colliers Wood, Merantun Way, Merton",Primary
0422fe96-d37f-41a1-aa85-53af700020e9,"Greenwich Park, Bower Avenue, Greenwich, SE10",Primary
0422fe96-d37f-41a1-aa85-53af700020e9,"Greenwich Park, Maze Hill, Greenwich, SE10",Primary
042b194c-ba2a-411a-833e-7cbf774227a4,"Yarnton Way, Thamesmead, Bexley, SE2",Primary
