ResourceID,External Cross Reference Source,External Cross Reference Number
0205d30c-71ed-49e5-a7a4-9baf798885f2,Site Code,QNR04
021540fa-79a4-41df-91d0-f32988ce5ff2,Site Code,CAL16
021fa667-960a-4290-997e-d9658775f65c,Site Code,HPM01
02270339-f81b-424d-a9ab-3e54d08aa75c,Site Code,SNB00
02361f22-0b42-4256-818a-fbb07ddd5d69,Site Code,MND98
0250b5dd-4990-4c94-82e2-5a8faa44d40f,Site Code,BMB12
0250b5dd-4990-4c94-82e2-5a8faa44d40f,OASIS ID,lparchae1-139994
025312f6-88d3-4d31-8bc7-eeb07ca84a30,Site Code,DCR93
025312f6-88d3-4d31-8bc7-eeb07ca84a30,AIP Record Number,C.01.3416
025312f6-88d3-4d31-8bc7-eeb07ca84a30,Archsearch,1059540
02556c4f-cfb4-4a3d-a654-16414080c635,Site Code,LHT03
025ec3db-dd56-47f5-8690-6fa74d325040,Site Code,MWQ98
025ec3db-dd56-47f5-8690-6fa74d325040,OASIS ID,johnsamul-30366
02607c65-2e8c-486f-986f-55ea11b19c86,Site Code,WEY98
026d6478-6db6-4e9b-9f37-cea67f2c3100,Site Code,SY89
027344cf-cff8-42ca-bc25-54f12c089a95,Site Code,MFH88
02777aac-0d45-4419-8b27-c9c2fc7f6e1c,Site Code,JFS06
02777aac-0d45-4419-8b27-c9c2fc7f6e1c,OASIS ID,preconst1-18904
0278eedc-6812-47e6-aa81-2c8958df7854,Site Code,BEQ09
0278eedc-6812-47e6-aa81-2c8958df7854,OASIS ID,preconst1-91887
027964fa-7ced-4430-b0bc-487a6946153b,Site Code,QAN09
027964fa-7ced-4430-b0bc-487a6946153b,OASIS ID,compassa1-56929
0293600a-7a3d-4d4f-bd06-2905400526af,Site Code,RAR94
02a007be-755c-4b96-a6dd-cd4a6654f219,Site Code,ATY12
02b4f467-cf66-4da6-8d78-57fca5f833a7,Site Code,GLO96
02b8eb1a-d1d4-4e14-8206-36b71495296b,Site Code,179SBR80
02be6542-92ff-414c-aca7-0db0dea9b5bb,Site Code,YKW01
02cdf9dc-a215-407b-b531-b250ba6084fd,Site Code,TRE12
02cdf9dc-a215-407b-b531-b250ba6084fd,OASIS ID,preconst1-139839
02cdf9dc-a215-407b-b531-b250ba6084fd,LPA Planning Reference,PA/10/02340
02f027f3-040c-4118-8506-d9dd1194e11a,Site Code,LRH88
02fe4eeb-3540-4594-ae26-f9a80f860d84,Site Code,MUA08
02fe4eeb-3540-4594-ae26-f9a80f860d84,OASIS ID,preconst1-42301
0301d8ad-e358-4e73-8e4e-479b6c44320d,Site Code,MFH89
0308e2f9-9b57-45d1-b728-b82260eec829,Site Code,TCH05
030e7061-e4dd-4a18-a085-22373a400c5e,Site Code,COLS19
0314a03f-a263-4daf-bf5b-60bf5a000c63,Site Code,GM203
031533f5-a432-45bd-a6e9-cc772ad96fde,Site Code,GSL01
031983d0-17b3-4fb0-a145-9c6ace9ddfeb,Site Code,GUD99
0319b27b-b8bd-459c-99a1-42fc8f7cae7d,Site Code,EWE10
0319b27b-b8bd-459c-99a1-42fc8f7cae7d,OASIS ID,preconst1-90194
0319d3b6-2b44-45a1-b0c0-f53e864f72d0,Site Code,PLA00
031fdbf4-26bd-4ce0-89c0-7416335bda91,Site Code,BLK11
0325b888-3100-4714-b894-554b94902252,Site Code,WCI07
0325b888-3100-4714-b894-554b94902252,OASIS ID,suttonar1-70236
032e1947-d01c-4dc0-832a-b3cb72ad008b,Site Code,AMS64
03336d78-fccc-407e-8c42-3979506fc762,Site Code,MCO05
0337e59c-0343-4259-9b50-3c0c650568d8,Site Code,CDA01
03529d03-c8d1-4dd5-be05-056196e0a0e0,Site Code,GYP93
0373d66e-4888-4ff1-957f-a98c2fdd6f3d,Site Code,GIF09
0373d66e-4888-4ff1-957f-a98c2fdd6f3d,OASIS ID,wessexar1-57180
0377119a-6144-45cc-a757-503c5839ad04,Site Code,SKV08
0377119a-6144-45cc-a757-503c5839ad04,OASIS ID,molas1-51056
0377357a-1725-4940-90cb-0be30f27f004,Site Code,BCK12
0377357a-1725-4940-90cb-0be30f27f004,OASIS ID,wessexar1-178493
03856a73-d683-43b9-b785-4f0b1e2479e0,Site Code,WFG20
038b8998-a963-422b-b6e0-869ee3b74c2e,Site Code,GGD01
038d1fcd-8dfc-492c-aab3-87a474bb2616,Site Code,LME01
03aa77be-d077-4fe6-ad49-daea203ba524,Site Code,PEA11
03aa77be-d077-4fe6-ad49-daea203ba524,OASIS ID,preconst1-120486
03b3415d-f5e7-442c-90cb-f722a7d8e92b,Site Code,TIY07
03b3415d-f5e7-442c-90cb-f722a7d8e92b,OASIS ID,preconst1-34719
03b8c5c1-050a-462e-a868-4308d253b64d,Site Code,CXA06
03b8c5c1-050a-462e-a868-4308d253b64d,OASIS ID,preconst1-45252
03c3900d-cc3a-4869-ace2-537cf8abb58d,Site Code,NRA90
03c5ecb8-1433-4e13-9b5d-f0485e22a282,Site Code,JFS06
03c5ecb8-1433-4e13-9b5d-f0485e22a282,OASIS ID,preconst1-18904
03cba7bf-3763-4347-841e-34523d4b67e1,Site Code,SGH93
03ccf27d-66fd-460b-b008-1cbc1b08cb3d,Site Code,XSX11
03d0e7e1-33b4-4d81-af48-9a94914cfcda,Site Code,OCKC10
03d59d33-5f66-445a-a8ad-88970bdb3c3a,Site Code,FGW14
03d59d33-5f66-445a-a8ad-88970bdb3c3a,OASIS ID,thamesdi1-92322
03d921ce-64e9-4434-ab76-fa2498a65dd5,Site Code,VCW16
03d921ce-64e9-4434-ab76-fa2498a65dd5,OASIS ID,kdkarcha1-240832
03e036cc-6fd0-4df8-baa2-db05e09a84c2,Site Code,GOT97
03e036cc-6fd0-4df8-baa2-db05e09a84c2,AIP Record Number,C.01.3523
03e036cc-6fd0-4df8-baa2-db05e09a84c2,Archsearch,1138768
03e036cc-6fd0-4df8-baa2-db05e09a84c2,RCHME Microfilm Index Number,14702
03e08859-1afd-43db-b535-d45afe682a7e,Site Code,GM146
03e370fb-e1bb-4ee3-95be-d2567264c570,Site Code,LEW15
03e850e9-c3b8-460a-8418-7f5df100cdf0,Site Code,MVC95
03ede02f-795e-4e29-9e41-d65bbd12d788,Site Code,WSV10
03f67f5c-059e-47d6-b5ab-7530eaaf354d,Site Code,WUS92
03f7318f-4b6d-44b5-aa9d-3b36f406c4a7,Site Code,CPZ03
0404d6cd-1599-43bf-a959-206d61dbf9be,Site Code,YKW01
0415e961-97e5-49fd-87f1-fe0c5c3a234d,Site Code,MMY99
0419c16a-1823-49fb-a275-dff82fda9a1a,Site Code,CLT92
0422fe96-d37f-41a1-aa85-53af700020e9,Site Code,GWC10
042da035-5437-4fbd-b5aa-462a8251ff96,Site Code,NEL90
042f1a6b-2309-435d-98c0-784b641c4bd4,Site Code,AEE01
04341fb0-cfdb-412d-b7fc-559bdf601b3b,Site Code,MCD96
0447dc02-3f27-40d5-83a9-e43696c87eb0,Site Code,SWY97
0455bd9b-d9dc-4ae3-9069-71645c22c0c0,Site Code,HLR98
046855ab-370e-4a62-9a20-6e24578fecd9,Site Code,GM171
0470d7db-2d51-4890-80e2-103ef0d79e5d,Site Code,CCT90
047c4bd0-c342-4971-b26a-c0a61be1ae0d,Site Code,HNI05
048096df-3f58-4335-a6bd-63cc0b7166d1,Site Code,PEO10
048096df-3f58-4335-a6bd-63cc0b7166d1,OASIS ID,preconst1-91254
04884044-78de-45a1-b307-d2a8c31a4cee,Site Code,SKO08
0499adf8-614b-4073-b3d1-075d7d7177e5,Site Code,CGP96
