ResourceID,Legacy ID,Full Address,Building Name,Building Number,Street,Locality,Town or City,Postcode,Address Status,Address Currency,Area Name,Area Type,Area Currency Type,Reference Number,Reference Number Type,Location Description,Name,Name Use Type
f88e9760-6dc0-37fc-8225-9261e46883a1,DALO04410,"11   Mapleton Crescent , London SW18 4AU",,11,  Mapleton Crescent ,,London,SW18 4AU,Primary,Current,Wandsworth,Borough,Current, FKM/357234,External Reference,Land at Mapleton Crescent,"Land West of the River Wandle and north of Electricity Sub station, Mapleton Crescent",Alternative
f894f74d-18e8-98ab-7285-20155bb0177a,DALO00614,"88   Great Eastern Road, London E15 1DE",,88,  Great Eastern Road,,London,E15 1DE,Primary,Current,Newham,Borough,Current,13/00322/FUL,External Reference,"Land on the northern side of Great Eastern Road, Zone 1 Stratford City, London","Land on the Northern side of Great Eastern Road, Zone 1, Stratford City, London",Alternative
f89ca24a-0747-0408-7f8d-ebfc6d130c60,DALO00975,"135   Lower Clapton Road, London E5 8EQ",The Windsor Castle,135,  Lower Clapton Road,,London,E5 8EQ,Primary,Current,Hackney,Borough,Current,2017/2284,External Reference,,The Windsor Castle 135 Lower Clapton Road London E5 8EQ,Primary
f8bbf0d2-716e-8757-3e5d-2ffff6f424cb,DALO05926,"16   Haling Road, South Croydon London CR2 6HS",,16,  Haling Road,South Croydon,London,CR2 6HS,Primary,Current,Croydon,Borough,Current, 15/04362/P,External Reference,,"16 Haling Road, South Croydon, CR2 6HS",Primary
f8c2a20f-49c0-823f-6953-4f85984e8d34,DALO04037,"21   Holywell Row, London EC2A 4JB",,21,  Holywell Row,,London,EC2A 4JB,Primary,Current,Hackney,Borough,Current,2016/2770,External Reference,,21 Holywell Row,Primary
f8c749f4-3ea5-34af-5589-843723511ede,DALO02699,"188   Stoke Newington High Street, London N16 7JD",,188,  Stoke Newington High Street,,London,N16 7JD,Primary,Current,Hackney,Borough,Current,2016/1502,External Reference,,188 Stoke Newington High Street London N16 7JD,Primary
f8c8ec3c-0e4e-9dd4-2e70-8f298d248bc3,DALO05228,"79   Prince Regent Lane, Plaistow London E13 8RW",,79,  Prince Regent Lane,Plaistow,London,E13 8RW,Primary,Current,Newham,Borough,Current,15/02283/FUL,External Reference,,79-81 Prince Regent Lane,Primary
f8d081d6-95a7-4446-0e97-4ad9ce3f5386,DALO05683,"SCL House 21 - 25  River Road, Barking London IG11 0DA",SCL House,21 - 25, River Road,Barking,London,IG11 0DA,Primary,Current,Barking and Dagenham,Borough,Current,13/01144/FUL,External Reference,,"SELA Limited SCL House, 21 - 23 River Road",Primary
f8ecee54-5ce9-7dd5-4097-5f54db3b1bf4,DALO04998,"3   Grange Road, Kingston upon Thames London KT1 2QU",,3,  Grange Road,Kingston upon Thames,London,KT1 2QU,Primary,Current,Kingston upon Thames,Borough,Current,1612178,External Reference,,"3 Grange Road, Kingston upon Thames, KT1 2QU",Primary
f8f25b20-6ec7-2b69-7ee0-98d20a544e2a,DALO02248,"85   Brighton Road, South Croydon London CR2 6EE",,85,  Brighton Road,South Croydon,London,CR2 6EE,Primary,Current,Croydon,Borough,Current,85 Brighton Road: 13/03454/F,External Reference,85 Brighton Road,"85 Brighton Road, South Croydon, CR2 6EE",Primary
f8fd5ba6-49a5-4735-74b3-dfdab1e68447,DALO02617,"3   VIVEASH CLOSE, Hayes London UB3 4R",,3,  VIVEASH CLOSE,Hayes,London,UB3 4R,Primary,Current,Hillingdon,Borough,Current,36678/APP/2017/1774,External Reference,,3 VIVEASH CLOSE HAYES UB3 4R,Primary
f8ff0d2b-46f1-a49e-0c7f-b9f8c64a2c64,DALO01561,"John Bramston Primary School, Hainault, London IG6 3EE",John Bramston Primary School,,,Hainault,London,IG6 3EE,Primary,Current,Redbridge,Borough,Current,1280/16,External Reference,"John Bramston Primary School, Newcastle Avenue, Hainault, Ilford, ","John Bramston Primary School, Newcastle Avenue, Hainault, Ilford, IG6 3EE",Primary
f90370e8-2b0f-73a6-4a17-1bd3a50162e7,DALO04014,"87   Movers Lane, Barking London IG11 7UQ",,87,  Movers Lane,Barking,London,IG11 7UQ,Primary,Current,Barking and Dagenham,Borough,Current,16/01353/FUL,External Reference,,Boleyn Garage Limited,Primary
f925e79b-3c58-4c19-9ada-95a789878483,DALO04623,"27   Wingate Road, Ilford London IG1 2JB",,27,  Wingate Road,Ilford,London,IG1 2JB,Primary,Current,Redbridge,Borough,Current,2097/16,External Reference,,"27, Wingate Road",Primary
f9321911-0a20-0d47-6373-de2de05b5513,DALO04712,"245   Brixton Road, London SW9 6LJ",,245,  Brixton Road,,London,SW9 6LJ,Primary,Current,Lambeth,Borough,Current,16/03021/FUL,External Reference,,245 Brixton Road London SW9 6LJ,Primary
f9362a33-7d2f-73f0-7d91-335580dd3beb,DALO02471,"190   Evering Road, London E5 8AJ",,190,  Evering Road,,London,E5 8AJ,Primary,Current,Hackney,Borough,Current,2017/2960,External Reference,,190 Evering Road London E5 8AJ,Primary
f93a6dd8-23dc-24a3-638c-b26b0e6a7984,DALO05088,"544   Green Street, Upton Park London E13 9DA",,544,  Green Street,Upton Park,London,E13 9DA,Primary,Current,Newham,Borough,Current,16/00665/FUL,External Reference,,"Flat Ground Floor, 544 Green Street",Primary
f94a08ad-3b6b-4e4f-63ec-2905d5a586a8,DALO00250,"Empire House 57   Broadway, Stratford London E15 2PX",Empire House,57,  Broadway,Stratford,London,E15 2PX,Primary,Current,Newham,Borough,Current,12/01318,External Reference,,"Empire House, 57 Broadway",Alternative
f9505929-5a00-54c8-02bb-f063d3822c62,DALO01474,"69   Narrow Street, London E14 8EJ",Lamb Court,69,  Narrow Street,,London,E14 8EJ,Primary,Current,Tower Hamlets,Borough,Current,PA/18/00074,External Reference,,"Lamb Court, 69 Narrow Street, London, E14 8EJ",Primary
f9508d8c-4787-2836-7e1d-4fb0e93f7ead,DALO04932,"Old Town Hall 30   Tweedy Road, Bromley London BR1 3FE",Old Town Hall,30,  Tweedy Road,Bromley,London,BR1 3FE,Primary,Current,Bromley,Borough,Current,PREAPP/14/00179,External Reference,,"Old Town Hall, 30 Tweedy Road, Bromley BR1 3FE",Primary
f97409bd-55da-6f81-1e9d-709d555f00a9,DALO03244,"76   Great Eastern Street, London EC2A 3JL",,76,  Great Eastern Street,,London,EC2A 3JL,Primary,Current,Hackney,Borough,Current,2016/4203,External Reference,,76 Great Eastern Street London EC2A 3JL,Primary
