ResourceID,Organisation Type,Currency
0e0e0160-8e28-4ce1-b55c-b1d6390357e8,Other,Current
0e15e353-1a99-41b0-8121-3cb3e145a5f6,Consultant,Current
0e2019d0-8f24-4691-8e50-b7617a6d2f11,Developer,Current
0e538f11-29ab-4fe8-9642-a3585984a48d,Builder,Current
0eb2c97f-5999-4821-8ca8-1451f8d19951,Statutory Organisation,Current
0ebed7d3-129c-4a07-a3bb-39421755283f,Architects,Current
0ec3dec5-321a-45e7-b134-4416ab2e647a,Developer,Current
0edf43bd-b082-42bb-b08d-6779e4cdc7ae,Architects,Current
0ef5d526-3a31-4cca-bd2d-30d4c571ddbd,Consultant,Current
0efffe5c-ef90-4851-8849-375a3231542c,Consultant,Current
0f23175e-3157-46d1-93e0-2e17366e8465,Other,Former
0f522713-afae-4c89-9a38-46fda8bfff19,Other,Current
0f75f397-0156-46bc-908b-b6d731c44a64,Museum,Current
0f8030b2-b551-484d-9549-7d8330762e41,Developer,Current
0f8ba51d-7d50-4592-a16d-814e18fa7869,Contractor,Current
0f8f348c-dc72-4c5f-a543-17e75df868f4,Consultant,Current
0fc0b424-cac9-4bd0-a87a-2c304be34b50,Contractor,Current
0fe7059b-ccf0-4610-be59-96c5f1e14c71,Museum,Current
0ff94f47-310c-4a54-b5d5-39626d8d5ddd,Local Government,Current
0ffe90c2-bc38-47f6-a9d2-b6ebb972fcf6,Developer,Current
1003e223-74f1-4bbe-abfa-3f396a489dc7,Architects,Former
107ec501-ee35-47f3-a35b-d8a41749d58c,Architects,Current
108df406-bdfc-4e0d-af1c-c6f6c318d401,Developer,Current
109f3856-b6ef-49bb-8272-67c98e5926f5,Contractor,Current
10a78f7a-7603-4cfb-b676-e1df0bed7f69,Developer,Current
10c38b15-ce8c-43b2-8f2e-8cdd9e9cba30,Developer,Current
10f1f80f-d94f-403a-ae1c-06f830fdebe4,Consultant,Current
1113aa49-2156-4d9e-9693-098a823f5543,Museum,Current
115095fb-88b0-45ca-8121-0154178f4c65,Developer,Current
115d8bad-e494-4812-ac0b-0e1ea963ea29,Consultant,Current
11c3ba08-8787-4755-8fc6-7883558c3cdc,Developer,Current
11f88b85-a7fc-4850-a378-fcec8742f0dc,Consultant,Current
12055d8a-ee99-4f03-8d55-261a5b03910b,Architects,Current
1217e2b0-520d-4961-b550-ea4afa4d9fe9,Agent,Current
124cb697-2330-46dd-91c0-dd5e49244d01,Contractor,Current
1261d1c1-054c-4f65-82f3-034d8fee7248,Architects,Current
1334de00-8416-4a7e-8ae9-502b2e092254,Consultant,Current
138662ed-08df-4442-9734-4e5211bbc136,Other,Current
13895f72-a320-431b-bd77-3afbf3489194,Archive,Current
13d1fc06-ecba-474e-bd5a-e93d4d4581c2,Developer,Current
14100bd9-6e96-4584-962e-f5d720c77269,Developer,Current
142322ed-7383-4458-b108-8dd16f1b1bbc,Contractor,Current
14282e45-1365-4385-b405-c2c00cd4dcd7,Consultant,Current
14af9ada-824d-4b9a-b585-ce7cb87198d8,Other,Current
14b5fd27-1a4c-4d11-a055-207b4a033f8d,Architects,Current
14d6f6d7-06d4-4a94-95f4-1133c378f4e8,Energy Provider,Current
14e8da6e-f7c3-4311-aa82-fa0b15a221fc,Contractor,Current
1531807a-b56e-4f20-848f-b081aee7c6b7,Developer,Current
15483677-000d-4a3b-a581-9408ef7172a7,Architects,Current
155e5714-2db6-42c8-802d-895d6c25b636,Consultant,Current
1590f6e1-caaa-46cc-b90b-593465acc4ea,Developer,Current
15ce7616-e3cb-4a08-a11d-3c7703d748ba,Architects,Current
15ce8155-6c90-4048-9d99-f6f3984dfaad,Architects,Current
15d0b09f-cc5e-4649-875e-be7cc9e924b7,Contractor,Current
160d1e02-9b84-4dec-bd7f-9842e802b71c,Builder,Current
16233286-9e08-496a-9c6a-cac7d9338579,Developer,Current
1636110f-06c5-4cb0-95ef-bfe0337fd8b3,Contractor,Current
165b1ada-00aa-43be-87f0-44ab444859c4,Architects,Current
16727991-046d-490c-9060-763602d9e2f5,Consultant,Current
1672a60e-67c9-4b63-a6b2-35fd25e32145,Developer,Current
16b8cc9a-bd7c-49ee-93ba-9e31df54c64c,Developer,Current
16c2eec5-92b5-4d56-bf42-fd3eb7eb34ef,Solicitors,Current
16f01763-ba4e-4f92-b0e0-74e46eab0224,Energy Provider,Current
17434206-2b94-4d19-a614-ec3d0a08dcc6,Consultant,Current
1752a9d8-f5fb-48a2-bef6-774358378dcb,Developer,Current
17eb678a-c218-4244-8979-ae9e421acd4f,Developer,Current
1835f723-1b0f-4fe0-98c8-cf52fce6b1d4,Developer,Current
186ef73c-ede9-416b-8495-914e34d8b544,Consultant,Current
187c4778-a061-41d6-a04e-ea666477dccc,Contractor,Current
18a43f98-492d-4016-b852-5041b67509e7,Developer,Current
18e05912-76da-4156-9924-bed3ac3d3bbe,Local amateur group,Current
18fe9794-a398-4e0c-906a-ab8ee638cb4b,Contractor,Current
19093178-bf70-4587-8197-0693a4c5eae2,Consultant,Current
190ff659-5cc2-436e-8797-96d32614a320,Local amateur group,Current
19164c7f-097d-42e1-99a6-9a55eeba12e2,Local amateur group,Current
19235d1f-5c06-462c-8d84-92d1ed2c27be,Developer,Current
1952530e-8bb6-4975-b2e6-962b9960e90a,Local Government,Current
1976f451-bb53-4b24-b2ea-4ebe7280edf0,Contractor,Current
19994518-7016-489d-964b-8725f0348135,Contractor,Former
19a4e503-8b5d-47da-a352-b41f186a1225,Developer,Current
19afff95-0c5b-45b6-b7e2-978b82906ba4,Contractor,Current
19d929a5-4430-4fd4-b3e2-33fdf17c08ee,Architects,Current
1a012d57-7bf7-4913-8839-9c64144167f3,University,Current
1a364477-d885-4849-8e83-4c98e0761e86,Architects,Current
1ae80b70-3874-4085-a619-e00b0df9254f,Contractor,Current
1b42d09b-37f5-4787-bd80-00ce478b6744,Consultant,Current
1b66b604-1127-475b-90cf-04f275d82896,Local Government,Current
1b68bc4c-ef74-4cbc-a8d5-bee6092f17b5,Developer,Current
1b769856-1091-40b3-910b-8102fc7f7895,University,Current
1bb772dc-20a9-416f-884f-7017a0377322,Consultant,Current
1bd0e0ae-61c3-47b3-82d5-e2a758bad5a0,Consultant,Current
1bf7d811-a412-4d3b-941f-e09f01a6f405,Architects,Current
1c045a1f-5d36-459b-a665-b756ea18dd36,Developer,Former
1c81b6cc-87ff-4461-a86d-1e6d25f4b47a,Architects,Current
1c8af398-e8d2-4517-81b4-f356dde1fbce,Developer,Current
1cd154a8-b8dd-4708-b712-eaa90fd2271b,Agent,Current
1cea173d-01ee-4248-be96-b38dfd650b6b,Contractor,Current
1ced43ff-7d7a-4fd5-bc9e-0b88d87dbfd3,Local Government,Current
1d29a0f5-0129-48b9-88cd-bbda5e0e1f7d,Museum,Current
1d897b32-4825-4fd5-ac50-7c0b1b8c8ce2,Developer,Current
1e2a5787-7ec3-405c-a41b-366fa5328d9c,Other,Current
1e3bcc4d-dc85-44e8-af1f-d5df95811f3b,Architects,Current
1e3ddb9a-963e-43c1-8f61-a8dbd18be50a,Museum,Current
1e4bf76c-c931-4943-a779-5cdb5677231d,Consultant,Current
