ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
07206218-2ef0-4535-95c6-38731ca21c36,07206218-2ef0-4535-95c6-38731ca21c36,,,,Alternate,,,,3-4,Cox's Court,,,,,,,,,,,,
2908fcf2-566c-424a-a9b7-b7d22999d710,2908fcf2-566c-424a-a9b7-b7d22999d710,,,,Alternate,,,,16-26,Borough High Street,,,,,,,,,,,,
720a5596-0a73-4443-a45c-3da4d3a88523,720a5596-0a73-4443-a45c-3da4d3a88523,Tower Hamlets,Borough,Current,,,,,,,,,,,,,,,,,,
7745e94e-6ddd-401b-a444-94d77ac0df58,7745e94e-6ddd-401b-a444-94d77ac0df58,City of Westminster,Borough,Current,,,,,,,,,,,,,,,,,,
974a384a-3c5f-4721-93cf-c3bbe115a05f,974a384a-3c5f-4721-93cf-c3bbe115a05f,Wandsworth,Borough,Current,,,,,,,,,,,,,,,,,,
d181e03e-5573-4cc5-9256-ba342ddba416,d181e03e-5573-4cc5-9256-ba342ddba416,Tower Hamlets,Borough,Current,,,,,,,,,,,,,,,,,,
f10007b0-7be7-47ac-b16e-a2d7bb02c278,f10007b0-7be7-47ac-b16e-a2d7bb02c278,City of Westminster,Borough,Current,,,,,,,,,,,,,,,,,,
