ResourceID,SourceUID,SourceType,Title Type,Title,Page Numbers,Volume/Number,Journal/Series,Originator,OrigDate,Description Type,Description,Location,PublicationLocation,Publisher
4b9f4008-ec72-4ab6-95c5-fab4254b7fa4,,Serial,Title,Transactions of the Ancient Monuments Society,,Vol 26,,,,,,,,
4ba3237c-5a32-40d6-afef-9e738fc1e2ee,,Serial,Title,London Archaeologist,,Vol 8 No 11,,,1998,,,,London,London Archaeologist Association
4ba8c8af-e7da-467c-ba19-f823ae07cd8f,,Serial,Title,Journal of the British Archaeological Association,,Ser 2 Vol 10 Pt 2,,,1904,,,,London,British Archaeological Association
4bb0daa8-a012-4d8c-af21-5a3873ad4e6d,,Serial,Title,Essex Naturalist,,Vol 3,,,1889,,,,,
4bb81706-f697-4627-b27c-1a8cfb46281b,,Serial,Title,London Archaeologist,,Vol 10 No 1,,,2002,,,,London,London Archaeologist Association
4c15cac7-fe9a-4002-a36a-779a987c7034,,Serial,Title,Kent Archaeological Review,,No 67,,,1982,,,,Dover,Council for Kentish Archaeology
4c19d3ce-ea3c-4ddf-8e38-e51707573e35,,Serial,Title,Essex Archaeology and History,,Ser 3 Vol 13,,,1981,,,,Colchester,The Essex Society for Archaeology and History
4c1f1bf6-e9df-4c90-9962-ae07c2034691,,Serial,Title,London Archaeologist,,Vol 10 No S3,,,2004,,,,London,London Archaeologist Association
4c3a92da-bc69-4de4-ad89-f9ad10ddda3f,,Serial,Title,Kingston upon Thames Archaeological Society Occasional Papers,,No 3,,,,,,,,
4c419b8b-6161-4f5f-8404-b309c1643f6b,,Serial,Title,Journal of the Anthropological Institute of Great Britain and Ireland,,Vol 20,,,1891,,,,London,Royal Anthropological Institute of Great Britain and Ireland
4c606a15-12b1-41a8-8ab9-aeeefedf5105,,Serial,Title,Wandsworth Historical Society Newsletter,,No 104,,,,,,,,
4c71636b-2785-4c16-9d59-3e3577ee2812,,Serial,Title,Proceedings of the Society of Antiquaries of London,,Ser 2 Vol 12,,,1889,,,,London,The Society of Antiquaries
4c7856a7-2c4e-4e58-847f-cf2ea950898f,,Serial,Title,Journal of Roman Studies,,Vol 1,,,1911,,,,London,The Society for the Promotion of Roman Studies
4c99205d-3700-47cb-86f0-60cfdf68815b,,Serial,Title,The Essex Society for Archaeology and History Occasional Papers,,Ser 2 No 3,,,2015,,,,,
4ca50588-11f0-4f02-8b16-f26d85e5cc55,,Serial,Title,Concrete and Constructional Engineering,,Vol 9,,,,,,,,
4cc48690-6878-44e5-851b-42e3b40dd0ea,,Serial,Title,Woolwich and District Antiquarian Society Transactions,,Vol 33,,,,,,,,
4ccb45bb-c273-4511-be45-29b295ecece6,,Serial,Title,Surrey Archaeological Society Bulletin,,No 48,,,1968,,,,Guildford,Surrey Archaeological Society
