ResourceID,External Cross Reference Source,External Cross Reference Number
06f9aec3-006f-4bc6-b9ca-eb20f63c2c1f,London Archaeological Group Number,32/119
0712876e-3fd6-4d6c-90c4-61dbea736a06,London Archaeological Group Number,03/237
072f3a8c-9fa0-4edd-bdaa-880a234b8151,London Archaeological Group Number,07/068
0739b9ce-006f-44d6-8230-e8c8f642e896,London Archaeological Group Number,024/0570
074308d4-7254-4b20-9827-4e0fd52b6c53,London Archaeological Group Number,28/136
074ff8e3-2dba-43c3-b18e-92b94bab456d,London Archaeological Group Number,07/181
076c2e93-7edb-489b-9fc4-1d30632559d6,London Archaeological Group Number,31/247
077e8a08-fdb8-492f-8c79-64166377f774,London Archaeological Group Number,18/110
07859562-f81f-4d04-948c-8671319fb05d,London Archaeological Group Number,10/255
07dc8e42-591e-4741-a4b1-1a34d2f5ad07,London Archaeological Group Number,18/116
07dd390e-7457-4870-9573-625c2718dd5f,London Archaeological Group Number,07/287
07f38a52-b2c5-446b-957d-cc234f6f1c92,London Archaeological Group Number,20/030
07f8fe77-e8a7-49b7-b234-464f2033f6e3,London Archaeological Group Number,30/442
080e7a18-29d7-4f3b-9d13-9c01349012d1,London Archaeological Group Number,32/562
0834acf8-2bf7-4b2f-adf2-7f2368058eb5,London Archaeological Group Number,25/002
0839092b-5cd8-4204-9f5f-996635f4a3b6,London Archaeological Group Number,24/143
08b1b782-9a23-4204-a855-f7a9d489738e,London Archaeological Group Number,07/120
08b76ba5-5827-4168-92dc-88cba5b6c2d8,London Archaeological Group Number,32/090
08c82415-706e-4620-a46a-6db92cbd2b5b,London Archaeological Group Number,29/121
09040728-d15a-4e91-a6ea-a46ff57f5022,London Archaeological Group Number,17/457
095538c7-4586-4e79-a669-eeeb4b4772dd,London Archaeological Group Number,22/298
095c9991-d1c3-4bb7-a28c-36071f200743,London Archaeological Group Number,25/140
0978e511-a408-421e-a780-8f8faef8a71c,London Archaeological Group Number,32/519
09843068-fe32-4547-bc7a-7defd8e42cd3,London Archaeological Group Number,20/043
0986c9f9-83d0-45a1-baec-e947435f4016,London Archaeological Group Number,07/035
098aca0b-f19b-4d1c-9a48-0dd72b95d4f0,London Archaeological Group Number,018/490
099f74d3-4c5f-4f0a-9971-dcf155a50499,London Archaeological Group Number,21/198
09a292e3-956e-449a-9e07-2d45e0bdf03c,London Archaeological Group Number,08/076
09b6fb89-47c5-40d6-a370-40fe258281ed,London Archaeological Group Number,17/462
09ed2351-9bd0-4606-a3cd-5b7fea37a9b2,London Archaeological Group Number,21/412
