ResourceID,DALUID,Building Number and Street,Building Name,Locality,Town,Postcode,Address Status,Area Name,Area Type,Area Currency,Reference Number,Reference Number Type,Location Description,Name,Name_Type
3f239d74-6669-6864-5d23-614317824d31,DALO01935,8-10 Broadway,New Scotland Yard,,London,SW1H 0BG,Primary,City of Westminster,Borough,Current,15/04185/EIAOP,External Organization Reference Number,,A D F G Tower 8 - 10 Broadway London SW1H 0BG,Primary
3f35c137-3742-a234-0409-5970b3aea43c,DALO06108,132  Chaldon Way,,Coulsdon,London,CR5 1DE,Primary,Croydon,Borough,Current,15/03665/P,External Organization Reference Number,,132 Chaldon Way,Primary
3f4a70dd-85ba-7d2d-55f6-5fda5e6665b8,DALO03361,264  Prince Regent Lane ,,Beckton,London,E16 3JJ,Primary,Newham,Borough,Current,16/03810/FUL,External Organization Reference Number,,"264 Prince Regent Lane, West Beckton, London, E16 3JJ",Primary
3f6a3726-7658-9e91-55c1-3a2061fc6873,DALO02469,20  High Street,,Cranford,London,TW5 9RG,Primary,Hounslow,Borough,Current,P/2013/4295,External Organization Reference Number,,20 HIGH STREET CRANFORD HOUNSLOW,Primary
3f78fb7e-a157-2902-9347-e462c6cd7834,DALO03156,91 - 93  King Street,,,London,W6 9XB,Primary,Hammersmith and Fulham,Borough,Current,2016/00573/FUL,External Organization Reference Number,,91 - 93 King Street London W6 9XB,Primary
3f7ef634-9498-490e-6678-8087713c7f34,DALO01736,1A  West Hill South,,South Croydon,London,CR2 0SB,Primary,Croydon,Borough,Current,17/05708/FUL,External Organization Reference Number,,1A West Hill South Croydon CR2 0SB,Primary
3f843e53-8307-5820-51c7-b2955bfa2193,DALO02211,264  Romford Road,Live And Let Live Public House,Forest Gate,London,E7 9HZ,Primary,Newham,Borough,Current,17/00812/PREDEM,External Organization Reference Number,,"264-266 , Romford Road, Forest Gate, London, E7 9HZ",Primary
3f8e68d5-4a08-871c-5324-4a72bde05cb0,DALO03473,16  Avenue Road,,Pinner,London,HA5 3HA,Primary,Harrow,Borough,Current,P/3643/16,External Organization Reference Number,,"16 Avenue Road, Pinner, HA5 3HA",Primary
3f95296b-8cdd-a402-650f-d010526c3055,DALO05509,29 Royston Parade,,Ilford,London,IG1 3SS,Primary,Redbridge,Borough,Current,4448/15,External Organization Reference Number,,"29, Royston Parade",Primary
3f98827d-3bb5-3863-7465-8b8515845cd7,DALO01946,19  Weir Hall Gardens,,,London,N18 1BH,Primary,Enfield,Borough,Current,17/03736/HOU,External Organization Reference Number,,19 Weir Hall Gardens London N18 1BH,Primary
3f9f6619-4c68-2256-0761-003ca3e32030,DALO05139,11  Woodside Green,Rhema House,,London,SE25 5EY,Primary,Croydon,Borough,Current,16/00422/P,External Organization Reference Number,,"Rhema House, 11 Woodside Green, London, SE25 5EY",Primary
3f9f7a25-7f19-3aec-8642-26e0ac536fc7,DALO05071,42  High Street,,Hounslow,London,TW3 1NW,Primary,Hounslow,Borough,Current,P/2015/5386,External Organization Reference Number,,42 HIGH STREET HOUNSLOW LONDON TW3 1NW,Primary
3fad6f3d-67d4-9c61-1a5f-c55202357157,DALO02646,60  The Bittoms,,Kingston upon Thames,London,KT1 2AP,Primary,Kingston upon Thames,Borough,Current,17/12513,External Organization Reference Number,,"60 The Bittoms, Kingston upon Thames, KT1 2AP",Primary
3fae7b1d-88ac-9e19-012c-622e2be25986,DALO01936,383-385  Mare Street,,,London,E8 1HY,Primary,Hackney,Borough,Current,2015/4327,External Organization Reference Number,,383-385 Mare Street London E8 1HY,Primary
3fae9be2-3a46-0076-4456-b70cf6d519d9,DALO01539,58  Clova Road,,Forest Gate,London,E7 9AF,Primary,Newham,Borough,Current,17/01497/FUL,External Organization Reference Number,,"58 Clova Road, Forest Gate, London, E7 9AF",Primary
3fb058d9-6374-1c8b-1ba4-787f87958180,DALO01613,21&23 Surbiton Road,,Kingston upon Thames,London,KT1 2JA,Primary,Kingston upon Thames,Borough,Current,17/13163,External Organization Reference Number,,"21 and 23 Surbiton Road, Kingston upon Thames, KT1 2JA",Primary
3fbfccc2-00a5-0c06-2f8e-0fcb7fe361d8,DALO02401,3  Warren Road,Telegraph Cottage,Kingston upon Thames,London,KT2 7HU,Primary,Kingston upon Thames,Borough,Current,17/14798,External Organization Reference Number,,3 TELEGRAPH COTTAGE WARREN ROAD KINGSTON UPON THAMES KT2 7HU,Primary
3fc6591b-91a4-01f3-4084-9dfea60d4dee,DALO03954,111  Bouverie Road,,,London,N16 0AD,Primary,Hackney,Borough,Current,2016/3238,External Organization Reference Number,,111 Bouverie Road,Primary
3fd6a0cd-51f2-7571-02fd-c4b20dd49845,DALO05113,42  Moundfield Road,,,London,N16 6DT,Primary,Hackney,Borough,Current,2016/0665,External Organization Reference Number,,42 Moundfield Road,Primary
3fd6db11-55fd-70f5-0670-8b5b12b27953,DALO05118,,The London Mosque,,London,SW18 5QL,Primary,Wandsworth,Borough,Current,2015/6811,External Organization Reference Number,,"The London Mosque, Gressenhall Road SW18 5QL",Primary
3fdc2e15-a590-64df-2ee6-8991823c9a02,DALO05362,77  Church Lane,,,London,N9 9PZ,Primary,Enfield,Borough,Current,16/00191/HOU,External Organization Reference Number,,"77 Church Lane, London N9 9PZ",Primary
3fe1bf1f-55a3-9aa8-361a-74a6dbea33a3,DALO05798,9-13  Grape Street,,Camden,London,WC2H 8DR,Primary,Camden,Borough,Current,,,,9-13 Grape Street,Primary
3fecd1cd-0f10-49cb-04e6-e145f200a576,DALO04622,24 & 26 Riverside Road,,,London,N15 6DA,Primary,Haringey,Borough,Current,HGY/2016/1759,External Organization Reference Number,,24 & 26 Riverside Road London N15 6DA,Primary
4003ec27-8b8a-2691-1659-f54d6bff7a79,DALO05427,42  High Street,Stansfield House,Cranford,London,TW5 9RU,Primary,Hounslow,Borough,Current,P/2016/0038,External Organization Reference Number,,STANSFIELD HOUSE 42 HIGH STREET CRANFORD LONDON TW5 9RU,Primary
40063b4a-849d-2535-3bbc-957a30f93d4c,DALO04630,48  Old Farleigh Road,,South Croydon,London,CR2 8PE,Primary,Croydon,Borough,Current,16/02668/P,External Organization Reference Number,,"48 Old Farleigh Road, South Croydon, CR2 8PE",Primary
401a4f7b-2f6a-0ac6-44de-4218cd0d3095,DALO02350,27  Castlewood Road,,,London,N16 6DL,Primary,Hackney,Borough,Current,2017/2918,External Organization Reference Number,,27 Castlewood Road London N16 6DL,Primary
4031511e-3519-71ad-87db-a89dd3505e83,DALO05985,81 - 87 High Holborn,Templar House,,London,WC1V 6NU,Primary,Camden,Borough,Current,2015/4407/P,External Organization Reference Number,,"Templar House, 81 - 87 High Holborn, London WC1V 6NU",Primary
4033fd08-8a4f-a5d6-60c5-ab4847a941fb,DALO00078,102  Sark Walk,,Canning Town,London,E16 3PX,Primary,Newham,Borough,Current,16/01606/HH,External Organization Reference Number,,102 Sark Walk,Primary
4048cf4c-2086-8b7b-3100-414ebcec4f26,DALO00017,1 & 2 Rutland Gardens,,Croydon,London,CR0 5ST,Primary,Croydon,Borough,Current,13/00077/P,External Organization Reference Number,1 Rutland Gardens,1 Rutland Gardens,Alternative
40492629-5054-06ce-1a2c-eefa3de5638e,DALO01713,,Curtis Green Building,,London,SW1,Primary,City of Westminster,Borough,Current,,,Richmond House - Curtis Green Building,Richmond House 79 Whitehall London SW1A 2NS,Primary
4049c81b-95b0-71e2-3197-45177543015c,DALO05070,17  Alconbury Road,,,London,E5 8RG,Primary,Hackney,Borough,Current,2016/0542,External Organization Reference Number,,17 Alconbury Road,Primary
404ffeb3-2286-8276-6a02-984bb76c57a6,DALO04324,1  Penfold Place,,,London,NW1 6RJ,Primary,City of Westminster,Borough,Current,,,"Penfold Place, London ",1 Penfold Place And Rear Of 334-336 Edgware Road London NW1 6RJ,Alternative
4050d68c-4b0d-0a39-891b-d03b8bdb6571,DALO03687,256 - 258  Poplar High Street,,,London,E14 0BB,Primary,Tower Hamlets,Borough,Current,PA/15/03565,External Organization Reference Number,,"256 - 258 Poplar High Street, London, E14 0BB",Primary
405cef19-513b-93bf-4629-15cfe7336d77,DALO05117,13  Balaam Street ,,,London,E13 8EB,Primary,Newham,Borough,Current,ZWOODF48,External Organization Reference Number,,13 Balaam Street,Primary
40675316-6315-0a52-1e9c-3449b4748fba,DALO01218,122  Church Road,Queens Hotel,Upper Norwood,London,SE19 2UG,Primary,Croydon,Borough,Current,17/02192/FUL,External Organization Reference Number,,Queens Hotel 122 Church Road London SE19 2UG,Primary
40759bb5-08b2-4284-6811-c668ba349b9e,DALO04093,4  Eastbourne Road,,Stratford,London,E15 3LJ,Primary,Newham,Borough,Current,16/02552/HH,External Organization Reference Number,,4 Eastbourne Road,Primary
408d0839-77c5-16fd-3c5c-613406b01e63,DALO03186,43  Wellington Road,,Enfield,London,EN1 2PF,Primary,Enfield,Borough,Current,17/00435/HOU,External Organization Reference Number,,43 Wellington Road Enfield EN1 2PF,Primary
40a27aea-5277-18d9-5448-124c04e60edb,DALO03103,17  Cobham Road,,Kingston upon Thames,London,KT1 3AE,Primary,Kingston upon Thames,Borough,Current,17/12174,External Organization Reference Number,,"17 Cobham Road, Kingston upon Thames, KT1 3AE",Primary
40b5abd0-8019-2f23-6f38-925823a81e8e,DALO00724,200  The Grove,,Stratford,London,E15 1NS,Primary,Newham,Borough,Current,16/00645/FUL,External Organization Reference Number,,"200 The Grove, Stratford, London, E15 1NS",Primary
40b6be02-9951-25c6-598f-d5aa0ad5847c,DALO01714,33  New Barn Street,,Plaistow,London,E13 8JZ,Primary,Newham,Borough,Current,15/01381/FUL,External Organization Reference Number,,"33 New Barn Street, Plaistow, London, E13 8JZ",Primary
40bd725b-2f86-2078-163c-3666a410494f,DALO01972,15-27  Falcon Road ,,,London,SW11,Primary,Wandsworth,Borough,Current,2016/2027,External Organization Reference Number,,15-27 Falcon Road SW11 2PH,Primary
40de24b5-7d1b-099d-54c3-5f79f2e12550,DALO02999,16  The Squirrels,,Pinner,London,HA5 3BD,Primary,Harrow,Borough,Current,P/0886/17,External Organization Reference Number,,"16 The Squirrels, Pinner, HA5 3BD",Primary
40e53631-4f96-36be-671d-7f2973bf3f18,DALO04303,1  Barn Street,St Mary's Church of England Primary School,,London,N16 0JT,Primary,Hackney,Borough,Current,2015/4085,External Organization Reference Number,,1 Barn Street LONDON N16 0JT,Primary
40f3d0cc-0ab9-0115-0dc1-7a96f84547c2,DALO05836,393 Cockfosters Road,,Barnet,London,EN4 0JS,Primary,Enfield,Borough,Current,P14-01069PLA,External Organization Reference Number,,393 Cockfosters Road,Primary
40f6bf84-1eff-423a-6701-cfaacdbe736f,DALO02256,3  Wood End Green Road,Blue Lagoon,Hayes,London,UB3 2SB,Primary,Hillingdon,Borough,Current,70935/APP/2017/1680,External Organization Reference Number,,BLUE LAGOON 3 WOOD END GREEN ROAD HAYES UB3 2SB,Primary
41081608-4bbb-57fc-1183-b52e74008b0f,DALO02846,22  Hanover Square,,,London,W1S 1JA,Primary,City of Westminster,Borough,Current,15/03972/FULL,External Organization Reference Number,,22 Hanover Square London W1S 1JA,Primary
410f3045-4bf5-3964-5517-098b92b21855,DALO03065,140  High Street South,,East Ham,London,E6 3RW,Primary,Newham,Borough,Current,17/00408/FUL,External Organization Reference Number,,"140 High Street South, East Ham, London, E6 3RW",Primary
