ResourceID,ResourceID2,AdminArea,AdminAreaType,Currency,Address Status,Building Name,Building Number SubStreet,SubStreet,Building Number,Street,Locality,Town,Postcode,EventUID,RecordType,Name Type,Name,DateFrom,DateTo,Description Type,Description,Notes
07206218-2ef0-4535-95c6-38731ca21c36,07206218-2ef0-4535-95c6-38731ca21c36,,,,Alternate,,,,1-4,Cross Keys,,,,,,,,,,,,
2908fcf2-566c-424a-a9b7-b7d22999d710,2908fcf2-566c-424a-a9b7-b7d22999d710,,,,Alternate,,,,11-15,Borough High Street,,,,,,,,,,,,
4e62a345-c654-413d-875a-0c1a7411513a,4e62a345-c654-413d-875a-0c1a7411513a,,,,Alternate,,,,,High Street,,,,,,,,,,,,
6fef0145-db3e-4e41-9646-21ac30675465,6fef0145-db3e-4e41-9646-21ac30675465,,,,Alternate,,,,,Ironmonger Lane,,,,,,,,,,,,
720a5596-0a73-4443-a45c-3da4d3a88523,720a5596-0a73-4443-a45c-3da4d3a88523,Newham,Borough,Current,,,,,,,,,,,,,,,,,,
7745e94e-6ddd-401b-a444-94d77ac0df58,7745e94e-6ddd-401b-a444-94d77ac0df58,Camden,Borough,Current,Alternate,,,,138-148,Charing Cross Road,,,,,,,,,,,,
974a384a-3c5f-4721-93cf-c3bbe115a05f,974a384a-3c5f-4721-93cf-c3bbe115a05f,Southwark,Borough,Current,,,,,,,,,,,,,,,,,,
c22a3949-2763-4da4-96f7-0ec0c1d24bdb,c22a3949-2763-4da4-96f7-0ec0c1d24bdb,,,,Alternate,,,,,Brandy Street,,,,,,,,,,,,
d181e03e-5573-4cc5-9256-ba342ddba416,d181e03e-5573-4cc5-9256-ba342ddba416,Southwark,Borough,Current,,,,,,,,,,,,,,,,,,
e538fb03-d9f0-4735-9ada-d06ffef536d5,e538fb03-d9f0-4735-9ada-d06ffef536d5,,,,Alternate,,,,,Stainer Street,,,,,,,,,,,,
f10007b0-7be7-47ac-b16e-a2d7bb02c278,f10007b0-7be7-47ac-b16e-a2d7bb02c278,Tower Hamlets,Borough,Current,,,,,,,,,,,,,,,,,,
