ResourceID,Location Description,Location Description Type
061b20f4-cb7d-4669-8a3f-7f33536667d7,"Meridian Water Site, Meridian Way, Upper Edmonton, N18",Primary
0639d154-c3d2-4b52-ac0c-5bf4c525e3fb,"St Vincents Estate North & South, Westferry Road",Primary
0639d154-c3d2-4b52-ac0c-5bf4c525e3fb,"St Vincents Estate North & South, Rich Street",Primary
0639d154-c3d2-4b52-ac0c-5bf4c525e3fb,"St Vincents Estate North & South, Grenade Street",Primary
0639d154-c3d2-4b52-ac0c-5bf4c525e3fb,"St Vincents Estate North & South, West India Dock Road",Primary
0639d154-c3d2-4b52-ac0c-5bf4c525e3fb,"St Vincents Estate North & South, Beccles Street",Primary
06594c57-fc19-4708-a9d4-5328a74d8b2e,"Culverley Road, Catford, Lewisham",Primary
066c21cd-025e-403d-9644-592d2d1a29fd,"Batavia Road, New Cross, Lewisham, SE14 6BQ",Primary
06823bc1-a73a-43f6-bba1-2d1ce36e1cd3,"Kirtling Street, London Borough of Wandsworth, SW8",Primary
06c5365f-023a-4ca2-8dac-18fe04b4f126,"Wards Wharf, Thames Road, Silvertown, Newham, E16",Primary
06f9aec3-006f-4bc6-b9ca-eb20f63c2c1f,"Coldstream Gardens, Putney, Wandsworth, SW18",Primary
074308d4-7254-4b20-9827-4e0fd52b6c53,"Tower Bridge Road, Southwark, SE1",Primary
074308d4-7254-4b20-9827-4e0fd52b6c53,"Fair Street, Southwark, SE1",Primary
074308d4-7254-4b20-9827-4e0fd52b6c53,"Druid Street, Southwark, SE1",Primary
074ff8e3-2dba-43c3-b18e-92b94bab456d,"Wardrobe Court, EC4",Primary
076c2e93-7edb-489b-9fc4-1d30632559d6,"Highams Park, The Charter Road, Hale End, Waltham Forest",Primary
07dc8e42-591e-4741-a4b1-1a34d2f5ad07,"Bankside Close (land off), Isleworth, Middx, TW7",Primary
07dd390e-7457-4870-9573-625c2718dd5f,"Lawrence Lane, EC2",Primary
07dd390e-7457-4870-9573-625c2718dd5f,"Trump Street, EC2",Primary
07dd390e-7457-4870-9573-625c2718dd5f,"Russia Row, EC2",Primary
07dd390e-7457-4870-9573-625c2718dd5f,"Milk Street, EC2",Primary
07f38a52-b2c5-446b-957d-cc234f6f1c92,"Kensington Gardens, Bayswater Road, W2",Primary
0834acf8-2bf7-4b2f-adf2-7f2368058eb5,"Baxter Road, E16",Primary
0839092b-5cd8-4204-9f5f-996635f4a3b6,"Merton High Street, SW19",Primary
08b1b782-9a23-4204-a855-f7a9d489738e,"West Smithfield, EC1",Primary
08b76ba5-5827-4168-92dc-88cba5b6c2d8,"Lytton Grove, Putney, Wandsworth",Primary
095c9991-d1c3-4bb7-a28c-36071f200743,"Drew Road, Silvertown, E16",Primary
096648a1-59c2-478e-9e52-780d7f0a33d2,"The Granary Building, King's Cross Goods Yard, King's Cross",Primary
0977baf7-41b6-4761-8ebc-17e573658c21,"Land at Sheaveshill Court, Edgware Road, Colindale, Barnet, NW9 6SJ",Primary
0978e511-a408-421e-a780-8f8faef8a71c,"Peabody Estate, St John's Hill, Wandsworth, SW11",Primary
099f74d3-4c5f-4f0a-9971-dcf155a50499,"Clarence Street, KT2",Primary
09a292e3-956e-449a-9e07-2d45e0bdf03c,"Church Street, Croydon",Primary
09a292e3-956e-449a-9e07-2d45e0bdf03c,"Charles Street, Croydon",Primary
09a292e3-956e-449a-9e07-2d45e0bdf03c,"Scarbrook Road, Croydon",Primary
09f21b5b-9462-4863-990c-1b288f2c1f03,"Ferry Lane Industrial Estate, Walthamstow, Waltham Forest, E17 6HG",Primary
