ResourceID,Monument Type,Evidence,MainBuildingMaterial,CoveringMaterial,Component,Parent_UID,YearFrom,YearTo,DispDate,Period,Note
00309475-17d2-4e8a-8a2a-1875ad0d37c8,Fence,Structure,Timber,,,64324,1540,1900,Post Medieval,Post Medieval,
00309475-17d2-4e8a-8a2a-1875ad0d37c8,Water Channel,Sub Surface Deposit,,,,0,1540,1900,Post Medieval,Post Medieval,
0030f634-b23c-49e2-bd33-5b695a6648a2,House,,,,,0,1701,1800,,,
0030f634-b23c-49e2-bd33-5b695a6648a2,,,,,Porch,456248,1701,1800,,,
00313209-cb0b-4f20-a03b-426d8636d939,Ditch,,,,,0,43,409,Roman,Roman,
003301fd-eb6d-48fc-8c40-2dd8717f019a,Terraced House,,,,,0,1800,1832,,,
003301fd-eb6d-48fc-8c40-2dd8717f019a,Terrace,,,,,0,1800,1832,,,
00333d76-3194-4318-8d78-66ecae81e6e2,Steps,,,,,0,1832,1832,,,
00333d76-3194-4318-8d78-66ecae81e6e2,Railings,,,,,0,1832,1832,,,
00333d76-3194-4318-8d78-66ecae81e6e2,Villa,,,,,0,1832,1832,,,
003467a0-f819-49b8-8cc1-5f792a2c954c,Manse,,,,,0,1898,1898,,,
003467a0-f819-49b8-8cc1-5f792a2c954c,Manse,,,,,0,1898,,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Park,Designed Landscape,,,,0,1909,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Tennis Court,Structure,,,,490227,1909,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Bowling Green,Structure,,,,490227,1909,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Bandstand,Structure,,,,490227,1909,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Gate Lodge,Extant Structure,,,,490227,1801,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Cricket Pavilion,Extant Structure,,,,490227,1909,2050,,,
00357a75-de3c-407d-98e8-92f0b9e54472,Pond,Structure,,,,490227,1801,2050,,,
